date,tsla_goldstein,tsla_event_count,tsla_article_weighted_tone,ev_goldstein,ev_event_count,ev_article_weighted_tone,macro_goldstein,macro_event_count,macro_article_weighted_tone,finbert ev_sentiment_label,finbert macro_sentiment_label,finbert tsla_sentiment_label,finbert ev_sentiment_score,finbert macro_sentiment_score,finbert tsla_sentiment_score,Close,High,Low,Open,Volume,Daily Return,Daily Volatility
2024-06-18,1.4,61,-0.2531881616051723,-2.428571428571429,7,1.3353599488714494,1.7965517241379307,58,-0.4160861670093136,neutral,neutral,neutral,0.7870528101921082,0.860105037689209,0.8349332809448242,184.86000061035156,187.1999969482422,182.3699951171875,186.55999755859375,68982300.0,-0.0137644141989444,0.0327510110866683
2024-06-20,-0.0363636363636364,33,-1.656759622736924,3.4555555555555553,9,0.7017118242083148,1.923333333333333,30,-0.7759532466787091,neutral,positive,neutral,0.8560875058174133,0.6358100175857544,0.7324657440185547,181.57000732421875,185.2100067138672,179.66000366210938,184.67999267578125,55893100.0,-0.0177972155970478,0.0323555703804321
2024-06-21,0.6714285714285715,56,-2.768493182077583,0.7833333333333334,12,-3.0491192267573286,0.3387096774193548,31,-0.7197057149079321,neutral,negative,negative,0.763533890247345,0.9731014966964722,0.7295916080474854,183.0099945068359,183.9499969482422,180.69000244140625,182.3000030517578,61937300.0,0.007930754665036,0.0304826269457925
2024-06-24,2.3142857142857145,21,-3.223584645112739,3.933333333333333,6,0.3749363500020846,5.475,20,0.5824108469963476,neutral,positive,negative,0.5353014469146729,0.9035411477088928,0.5700351595878601,182.5800018310547,188.8000030517578,182.5500030517578,184.97000122070312,61992100.0,-0.0023495584322592,0.0279518809495955
2024-06-25,0.5192307692307694,52,-3.5848540927157178,4.433333333333333,12,-0.5233049815782577,2.0361111111111105,36,-1.0587157865382009,neutral,neutral,negative,0.8681430816650391,0.5280729532241821,0.5118169188499451,187.3500061035156,187.97000122070312,182.0099945068359,184.3999938964844,62905700.0,0.0261255571509673,0.0275179259272248
2024-06-26,-1.4571428571428573,56,-3.047749129816522,-2.018181818181818,11,-1.5747897837003648,0.5029411764705883,34,-3.0043997580508974,neutral,negative,neutral,0.8146476149559021,0.8965442776679993,0.8146476149559021,196.3699951171875,197.7599945068359,186.36000061035156,186.5399932861328,95737100.0,0.0481451226037756,0.0286254097786292
2024-06-27,-0.3095238095238096,21,-2.67742385682401,2.6615384615384614,26,0.9134025289778008,1.5061538461538464,65,-1.125871878138092,positive,neutral,neutral,0.3915182650089264,0.9215364456176758,0.9439346194267272,197.4199981689453,198.72000122070312,194.0500030517578,195.1699981689453,72746500.0,0.0053470646120412,0.0230676956595801
2024-06-28,-0.5272727272727272,22,-1.1240712035070377,-4.08,5,-3.12628874770157,2.0825,40,-1.3111706888175203,negative,neutral,neutral,0.9276881217956544,0.7324122786521912,0.8071664571762085,197.8800048828125,203.1999969482422,195.2599945068359,199.5500030517578,95438100.0,0.0023300917745603,0.0213113020166464
2024-07-01,0.5666666666666667,9,0.5712816493052079,1.6800000000000002,5,-1.347753523990309,0.3874999999999998,40,-2.2043118156353327,positive,neutral,,0.842340350151062,0.8911498188972473,0.0,209.86000061035156,213.22999572753903,200.8500061035156,201.02000427246097,135691400.0,0.0605417193851081,0.0246174047988351
2024-07-02,2.9880000000000004,25,0.4036733257564218,6.2,2,-0.5428703033493457,0.6695652173913044,46,-1.523241160836445,positive,neutral,neutral,0.8451641798019409,0.6083384156227112,0.5522810816764832,231.2599945068359,231.3000030517578,218.05999755859375,218.88999938964844,205047900.0,0.1019727143535937,0.0381437892662719
2024-07-03,3.9333333333333336,18,0.2371243105280588,1.9222222222222225,9,0.5209410691052943,1.551923076923077,52,-1.5221363764435076,positive,negative,neutral,0.928744912147522,0.6373081207275391,0.8427364826202393,246.38999938964844,248.3500061035156,234.25,234.55999755859375,166561500.0,0.0654242205405106,0.0357306155444382
2024-07-05,2.1500000000000004,10,-1.978771223535532,0.7066666666666667,15,-0.2817863327111681,-0.0333333333333333,27,-2.466841688952996,positive,neutral,neutral,0.5940417051315308,0.835884153842926,0.8680198192596436,251.52000427246097,252.3699951171875,242.4600067138672,249.80999755859375,154501200.0,0.0208206700577151,0.0362323198519642
2024-07-08,1.651785714285714,56,-1.594679860401276,1.9499999999999995,28,-2.0583156951501977,1.4857142857142849,14,-0.0709322336314744,neutral,neutral,neutral,0.7789308428764343,0.7109251618385315,0.8075542449951172,252.94000244140625,259.44000244140625,244.57000732421875,247.7100067138672,157219600.0,0.0056456669243973,0.0387965229538661
2024-07-09,-1.6656249999999997,64,-2.7167959989181276,6.7,2,2.5594469222457814,1.6575757575757573,33,0.0237802769416145,neutral,negative,neutral,0.89108806848526,0.5353879928588867,0.6289601922035217,262.3299865722656,265.6099853515625,250.3000030517578,251.0,160210900.0,0.0371233653839888,0.0361867789028582
2024-07-10,-0.6538461538461539,13,-1.2308909386649511,3.2416666666666663,12,0.9416576689441348,1.6807692307692306,52,-1.503769373641067,positive,negative,neutral,0.9571423530578612,0.6238508820533752,0.7992638349533081,263.260009765625,267.5899963378906,257.8599853515625,262.79998779296875,128519400.0,0.0035452416458809,0.0359671211641283
2024-07-11,-1.5710526315789473,38,-2.139243494122153,4.879661016949154,59,0.2514598781344182,2.0309523809523813,84,-1.1111684610613306,negative,neutral,positive,0.9279513955116272,0.8536014556884766,0.7723044753074646,241.02999877929688,271.0,239.6499938964844,263.29998779296875,221707300.0,-0.0844412753996288,0.058376663509637
2024-07-12,0.268421052631579,19,-2.549998819666633,3.7682352941176473,85,0.9499325773005152,-0.2973684210526315,38,-2.074844306859644,positive,neutral,negative,0.7529056072235107,0.926033616065979,0.9688466787338256,248.22999572753903,251.83999633789065,233.08999633789065,235.8000030517578,155955800.0,0.0298717876808147,0.0470640615949857
2024-07-15,-2.9214285714285713,14,-1.6286055573748526,0.2777777777777777,9,-0.6897516569295025,0.0090909090909097,55,-2.145266877020819,neutral,negative,negative,0.51876300573349,0.9589231610298156,0.5549560785293579,252.63999938964844,265.6000061035156,251.72999572753903,255.97000122070312,146912900.0,0.0177657967933491,0.0409530964686912
2024-07-16,-0.2277777777777776,18,-0.3342963001661511,3.38,5,-1.0743760681695025,0.2586206896551724,29,-2.269555629695753,negative,positive,negative,0.917113721370697,0.7217494249343872,0.9687982201576232,256.55999755859375,258.6199951171875,245.8000030517578,255.30999755859375,126332500.0,0.0155161422514866,0.0406450832123586
2024-07-17,0.8384615384615383,26,-0.6422560673621699,-0.75,8,-1.109304159274591,2.0127659574468084,47,-0.4233173759895441,positive,negative,negative,0.7547694444656372,0.6373081207275391,0.9687982201576232,248.5,258.4700012207031,246.17999267578125,252.72999572753903,115584800.0,-0.0314156440415189,0.0426926855635959
2024-07-18,1.73,30,-3.9787613740018912,4.411764705882353,17,-0.3290569561280553,-0.1177419354838711,62,-1.395459754998116,neutral,positive,neutral,0.934131383895874,0.9309396743774414,0.8369957804679871,249.22999572753903,257.1400146484375,247.1999969482422,251.08999633789065,110869000.0,0.0029376085615253,0.0393318769980594
2024-07-19,3.414285714285714,7,-5.038208321412163,4.314285714285714,7,2.3611084652810246,0.8440860215053767,93,-4.117067368910931,negative,negative,neutral,0.627018928527832,0.604728102684021,0.7880349159240723,239.1999969482422,249.44000244140625,236.8300018310547,247.7899932861328,87403900.0,-0.0402439471622099,0.0408998501487171
2024-07-22,2.5250000000000004,8,-0.6801891770339994,1.4000000000000004,8,0.9986827980541396,3.6805555555555567,36,1.7085251880615933,neutral,neutral,neutral,0.4474771022796631,0.778550386428833,0.7845455408096313,251.5099945068359,253.2100067138672,243.75,244.2100067138672,101225400.0,0.0514632011523703,0.0326889377944987
2024-07-23,1.16,40,-0.3900321362264493,2.3312500000000003,16,0.0556190437838408,2.3880952380952385,42,-1.4521375296206134,negative,neutral,negative,0.9684297442436218,0.8036479353904724,0.959080159664154,246.3800048828125,255.7599945068359,245.6300048828125,253.6000061035156,111928200.0,-0.0203967624987722,0.0322316565033321
2024-07-24,0.2917197452229296,157,-1.4767461791004648,6.4,1,3.3587786259542,4.042857142857143,7,-2.6363317319814787,neutral,neutral,neutral,0.5642299652099609,0.8854676485061646,0.8728199601173401,215.9900054931641,225.9900054931641,214.7100067138672,225.4199981689453,167942900.0,-0.1233460458940369,0.0549407525174153
2024-07-25,1.4088888888888889,45,-0.9731625539399508,0.7000000000000002,12,-1.557412936048766,0.8272727272727267,22,-1.0424519938520584,negative,neutral,neutral,0.7863700985908508,0.6012111306190491,0.8844419121742249,220.25,226.0,216.22999572753903,216.8000030517578,100636500.0,0.0197231093962388,0.0554248919286398
2024-07-26,1.830952380952381,42,0.5875677892210608,2.9,5,0.1629998310307059,-0.7075,40,-2.1972008290484744,neutral,neutral,neutral,0.9244148135185242,0.5823432207107544,0.831018328666687,219.8000030517578,222.27999877929688,215.3300018310547,221.19000244140625,94604100.0,-0.0020431189477511,0.0555444632726376
2024-07-29,1.255882352941177,34,-1.5646667624618391,3.88,5,0.9523809523809532,0.7076923076923074,13,-3.0498807427488517,neutral,neutral,neutral,0.9394513368606568,0.8789858222007751,0.8997420072555542,232.1000061035156,234.27000427246097,224.6999969482422,224.8999938964844,129201800.0,0.0559599767105618,0.0618165032213565
2024-07-30,-1.5333333333333323,24,-1.2177187719150115,2.1974358974358976,39,-0.5826212871212554,-0.2928571428571429,14,-1.3537091599244708,neutral,neutral,positive,0.7543520927429199,0.926033616065979,0.7299237847328186,222.6199951171875,232.41000366210935,220.0,232.25,100560300.0,-0.0408445098536537,0.0618684408026581
2024-07-31,-2.9551020408163264,49,-2.131269625273303,1.6888888888888889,9,0.6045425793476374,0.7499999999999999,30,-1.673477844776385,neutral,negative,negative,0.9396049380302428,0.6255006194114685,0.5835565328598022,232.07000732421875,234.67999267578125,226.7899932861328,227.8999938964844,67497000.0,0.042449072025434,0.0604908798691852
